"shiny_file","id","variation","shiny_jpeg","shiny_primary_colour","shiny_second_colour","shiny_primary_colour_count","shiny_second_colour_count","shiny_primary_red","shiny_primary_green","shiny_primary_blue","shiny_second_red","shiny_second_green","shiny_second_blue","non_shiny_file","non_shiny_jpeg","non_shiny_primary_colour","non_shiny_second_colour","non_shiny_primary_colour_count","non_shiny_second_colour_count","non_shiny_primary_red","non_shiny_primary_green","non_shiny_primary_blue","non_shiny_second_red","non_shiny_second_green","non_shiny_second_blue","distance_primary","distance_second","primary_col_count","secondary_col_count","primary_col_pc","secondary_col_pc","distance_overall"
"pokemon_icon_005_00_shiny.png","005","_00","pokemon_icon_005_00_shiny.jpeg","#EDC985","#D28B44",4626,3553,237,201,133,210,139,68,"pokemon_icon_005_00.png","pokemon_icon_005_00.jpeg","#D96E4E","#F0A790",4265,3769,217,110,78,240,167,144,108.194269718872,86.3712915267567,8891,7322,0.548387096774194,0.451612903225806,96.2268300651313
"pokemon_icon_006_00_shiny.png","006","_00","pokemon_icon_006_00_shiny.jpeg","#5D524C","#E1BD78",10393,3016,93,82,76,225,189,120,"pokemon_icon_006_00.png","pokemon_icon_006_00.jpeg","#E49C50","#186C76",11700,1205,228,156,80,24,108,118,154.003246719022,216.71640454751,22093,4221,0.839591092194269,0.160408907805731,206.656655395194
"pokemon_icon_006_51_shiny.png","006","_51","pokemon_icon_006_51_shiny.jpeg","#4D8F7B","#87252A",9664,6231,77,143,123,135,37,42,"pokemon_icon_006_51.png","pokemon_icon_006_51.jpeg","#446176","#78CCDE",12284,6178,68,97,118,120,204,222,47.1380949975707,245.995934925763,21948,12409,0.638821783042757,0.361178216957243,174.172814872529
"pokemon_icon_006_52_shiny.png","006","_52","pokemon_icon_006_52_shiny.jpeg","#93857D","#900C3A",11574,5290,147,133,125,144,12,58,"pokemon_icon_006_52.png","pokemon_icon_006_52.jpeg","#D59F55","#328085",11766,5111,213,159,85,50,128,133,81.4370922860093,167.083811304387,23340,10401,0.691740019560772,0.308259980439228,140.682355375098
"pokemon_icon_007_00_05_shiny.png","007","_00_05","pokemon_icon_007_00_05_shiny.jpeg","#A2C7C7","#494E46",3099,429,162,199,199,73,78,70,"pokemon_icon_007_00_05.png","pokemon_icon_007_00_05.jpeg","#80C6D5","#555047",2927,457,128,198,213,85,80,71,36.783148315499,12.2065556157337,6026,886,0.87181712962963,0.12818287037037,15.3568538119131
"pokemon_icon_007_00_11_shiny.png","007","_00_11","pokemon_icon_007_00_11_shiny.jpeg","#A3C9CA","#925448",3266,549,163,201,202,146,84,72,"pokemon_icon_007_00_11.png","pokemon_icon_007_00_11.jpeg","#69C8E8","#C19575",2361,1396,105,200,232,193,149,117,65.3069674690228,91.9728220726101,5627,1945,0.743132593766508,0.256867406233492,85.1232331655872
"pokemon_icon_007_00_14_shiny.png","007","_00_14","pokemon_icon_007_00_14_shiny.jpeg","#9FC4C3","#B69C1C",2957,1389,159,196,195,182,156,28,"pokemon_icon_007_00_14.png","pokemon_icon_007_00_14.jpeg","#C2A642","#69C2E1",2101,2098,194,166,66,105,194,225,136.989050657343,214.899976733363,5058,3487,0.591925102399064,0.408074897600936,183.106483552897
"pokemon_icon_007_00_shiny.png","007","_00","pokemon_icon_007_00_shiny.jpeg","#A8D2D5","#7D8D84",2759,884,168,210,213,125,141,132,"pokemon_icon_007_00.png","pokemon_icon_007_00.jpeg","#69CAE9","#BCA783",2402,1205,105,202,233,188,167,131,66.5807780068692,68.1615727518079,5161,2089,0.711862068965517,0.288137931034483,67.7060858246111
"pokemon_icon_008_00_05_shiny.png","008","_00_05","pokemon_icon_008_00_05_shiny.jpeg","#BFA8AB","#4C3C32",5144,611,191,168,171,76,60,50,"pokemon_icon_008_00_05.png","pokemon_icon_008_00_05.jpeg","#AABEDD","#49453E",5324,596,170,190,221,73,69,62,58.5234995535981,15.2970585407784,10468,1207,0.89661670235546,0.10338329764454,19.7659505581208
"pokemon_icon_008_00_shiny.png","008","_00","pokemon_icon_008_00_shiny.jpeg","#B9B7DC","#C38E61",4377,2305,185,183,220,195,142,97,"pokemon_icon_008_00.png","pokemon_icon_008_00.jpeg","#AABFE0","#6A6154",5375,456,170,191,224,106,97,84,17.464249196573,100.573356312693,9752,2761,0.779349476544394,0.220650523455606,82.2352883235934
"pokemon_icon_009_00_05_shiny.png","009","_00_05","pokemon_icon_009_00_05_shiny.jpeg","#AFA6B7","#4E4C55",10585,3622,175,166,183,78,76,85,"pokemon_icon_009_00_05.png","pokemon_icon_009_00_05.jpeg","#9EADBE","#4A4D51",10586,3353,158,173,190,74,77,81,19.672315572906,5.74456264653803,21171,6975,0.752185035173737,0.247814964826263,9.19606824809479
"pokemon_icon_009_00_shiny.png","009","_00","pokemon_icon_009_00_shiny.jpeg","#B0A7B9","#53515A",10668,3601,176,167,185,83,81,90,"pokemon_icon_009_00.png","pokemon_icon_009_00.jpeg","#A0AFC0","#51555A",10589,3492,160,175,192,81,85,90,19.2093727122985,4.47213595499958,21257,7093,0.749805996472663,0.250194003527337,8.15930422023844
"pokemon_icon_009_51_shiny.png","009","_51","pokemon_icon_009_51_shiny.jpeg","#C4AEB7","#6D6D84",14523,8174,196,174,183,109,109,132,"pokemon_icon_009_51.png","pokemon_icon_009_51.jpeg","#9EA9B4","#5D616A",17107,5572,158,169,180,93,97,106,38.4447655734822,32.8024389337135,31630,13746,0.697064527503526,0.302935472496474,34.5116998203112
"pokemon_icon_010_00_shiny.png","010","_00","pokemon_icon_010_00_shiny.jpeg","#E5D871","#AA883A",1043,660,229,216,113,170,136,58,"pokemon_icon_010_00.png","pokemon_icon_010_00.jpeg","#CED583","#71984D",952,756,206,213,131,113,152,77,29.3598365118064,62.1771662268393,1995,1416,0.584872471416007,0.415127528583993,48.5537892475116
"pokemon_icon_011_00_shiny.png","011","_00","pokemon_icon_011_00_shiny.jpeg","#ED7B3B","#9D451D",1584,955,237,123,59,157,69,29,"pokemon_icon_011_00.png","pokemon_icon_011_00.jpeg","#B0D478","#65823F",1582,988,176,212,120,101,130,63,123.947569560682,89.5153618101385,3166,1943,0.619690741828146,0.380309258171854,102.610249196967
"pokemon_icon_012_00_shiny.png","012","_00","pokemon_icon_012_00_shiny.jpeg","#3C4040","#BE939E",5811,2629,60,64,64,190,147,158,"pokemon_icon_012_00.png","pokemon_icon_012_00.jpeg","#423840","#8B9DBC",5644,2804,66,56,64,139,157,188,10,60.00833275471,11455,5433,0.678292278540976,0.321707721459024,43.9202659702276
"pokemon_icon_012_01_shiny.png","012","_01","pokemon_icon_012_01_shiny.jpeg","#3B3F3F","#BD919D",6314,2638,59,63,63,189,145,157,"pokemon_icon_012_01.png","pokemon_icon_012_01.jpeg","#41373E","#8A9BBB",6141,2809,65,55,62,138,155,187,10.0498756211209,60.00833275471,12455,5447,0.695732320411127,0.304267679588873,44.8075889268327
"pokemon_icon_013_00_shiny.png","013","_00","pokemon_icon_013_00_shiny.jpeg","#A08844","#E2CC7F",685,568,160,136,68,226,204,127,"pokemon_icon_013_00.png","pokemon_icon_013_00.jpeg","#9B7050","#DCAF8A",667,567,155,112,80,220,175,138,27.2946881279124,31.5911379978626,1352,1135,0.543626859670285,0.456373140329714,29.6303536784442
"pokemon_icon_014_00_shiny.png","014","_00","pokemon_icon_014_00_shiny.jpeg","#659F26","#A5DF3F",1281,1273,101,159,38,165,223,63,"pokemon_icon_014_00.png","pokemon_icon_014_00.jpeg","#E5CD61","#AD883A",1365,1194,229,205,97,173,136,58,148.259906920246,87.5099994286367,2646,2467,0.517504400547624,0.482495599452376,116.821562460477
"pokemon_icon_015_00_shiny.png","015","_00","pokemon_icon_015_00_shiny.jpeg","#C9CCCE","#649554",6445,2493,201,204,206,100,149,84,"pokemon_icon_015_00.png","pokemon_icon_015_00.jpeg","#CFCFC6","#9C7D52",6675,2178,207,207,198,156,125,82,10.4403065089106,60.9590026165127,13120,4671,0.737451520431679,0.262548479568321,47.6953957636877
"pokemon_icon_015_51_shiny.png","015","_51","pokemon_icon_015_51_shiny.jpeg","#BBC3CE","#708C43",4653,4048,187,195,206,112,140,67,"pokemon_icon_015_51.png","pokemon_icon_015_51.jpeg","#CCC28E","#6A5548",4583,2223,204,194,142,106,85,72,66.2268827591938,55.5517776493246,9236,6271,0.595601986199781,0.404398013800219,59.8687689528643
"pokemon_icon_016_00_shiny.png","016","_00","pokemon_icon_016_00_shiny.jpeg","#CBBC76","#8F7B3F",821,820,203,188,118,143,123,63,"pokemon_icon_016_00.png","pokemon_icon_016_00.jpeg","#D1BC7C","#8E7047",964,676,209,188,124,142,112,71,8.48528137423857,13.6381816969859,1785,1496,0.544041450777202,0.455958549222798,11.2886727415363
"pokemon_icon_017_00_shiny.png","017","_00","pokemon_icon_017_00_shiny.jpeg","#D3D67C","#A19732",6364,3260,211,214,124,161,151,50,"pokemon_icon_017_00.png","pokemon_icon_017_00.jpeg","#C17B51","#DFC69B",5821,4092,193,123,81,223,198,155,102.24480426897,130.682822130531,12185,7352,0.623688386139121,0.376311613860879,119.981265734042
"pokemon_icon_018_00_shiny.png","018","_00","pokemon_icon_018_00_shiny.jpeg","#BA9E4F","#EADB7A",8087,6363,186,158,79,234,219,122,"pokemon_icon_018_00.png","pokemon_icon_018_00.jpeg","#DDC390","#BB8053",10136,3356,221,195,144,187,128,83,82.5772365727989,109.594707901431,18223,9719,0.652172357025267,0.347827642974733,100.197284530056
"pokemon_icon_018_51_shiny.png","018","_51","pokemon_icon_018_51_shiny.jpeg","#D8BC61","#6E535B",14997,3467,216,188,97,110,83,91,"pokemon_icon_018_51.png","pokemon_icon_018_51.jpeg","#C88F72","#3E87A8",13883,2301,200,143,114,62,135,168,50.6951674225463,104.580112832221,28880,5768,0.833525744631725,0.166474255368275,95.609656669585
"pokemon_icon_019_00_shiny.png","019","_00","pokemon_icon_019_00_shiny.jpeg","#C1BC9B","#7A7D61",1540,1193,193,188,155,122,125,97,"pokemon_icon_019_00.png","pokemon_icon_019_00.jpeg","#C5A6BB","#886687",1579,1063,197,166,187,136,102,135,39.0384425918863,46.5725240887801,3119,2256,0.580279069767442,0.419720930232558,43.4103123944559
"pokemon_icon_019_01_shiny.png","019","_01","pokemon_icon_019_01_shiny.jpeg","#BEBA98","#787B5F",1568,1133,190,186,152,120,123,95,"pokemon_icon_019_01.png","pokemon_icon_019_01.jpeg","#C4A5BA","#866585",1611,1017,196,165,186,134,101,133,40.4103947023535,46.0868744872117,3179,2150,0.596547194595609,0.403452805404391,43.7966827931893
"pokemon_icon_019_61_shiny.png","019","_61","pokemon_icon_019_61_shiny.jpeg","#84444C","#C09993",2350,1248,132,68,76,192,153,147,"pokemon_icon_019_61.png","pokemon_icon_019_61.jpeg","#615E54","#C0B798",2391,1174,97,94,84,192,183,152,44.328320518603,30.4138126514911,4741,2422,0.661873516682954,0.338126483317046,35.118676263685
"pokemon_icon_020_00_11_shiny.png","020","_00_11","pokemon_icon_020_00_11_shiny.jpeg","#B6B994","#BF5944",3384,2839,182,185,148,191,89,68,"pokemon_icon_020_00_11.png","pokemon_icon_020_00_11.jpeg","#C99C5F","#47C6B9",5654,514,201,156,95,71,198,185,63.3324561342761,199.924985932224,9038,3353,0.729400371237188,0.270599628762812,162.963098077126
"pokemon_icon_020_00_shiny.png","020","_00","pokemon_icon_020_00_shiny.jpeg","#CCB78C","#C15B40",2972,2765,204,183,140,193,91,64,"pokemon_icon_020_00.png","pokemon_icon_020_00.jpeg","#DCB773","#A67336",4074,1802,220,183,115,166,115,54,29.6816441593117,37.4833296279826,7046,4567,0.606733832773616,0.393266167226384,34.4151906858126
"pokemon_icon_020_01_11_shiny.png","020","_01_11","pokemon_icon_020_01_11_shiny.jpeg","#C17F61","#47C6B9",5231,511,193,127,97,71,198,185,"pokemon_icon_020_01_11.png","pokemon_icon_020_01_11.jpeg","#C89C5E","#47C6B9",5653,515,200,156,94,71,198,185,29.9833287011299,0,10884,1026,0.913853904282116,0.0861460957178841,2.58294670422832
"pokemon_icon_020_01_shiny.png","020","_01","pokemon_icon_020_01_shiny.jpeg","#CCB78C","#C05A3F",2923,2817,204,183,140,192,90,63,"pokemon_icon_020_01.png","pokemon_icon_020_01.jpeg","#DCB772","#A67336",4029,1847,220,183,114,166,115,54,30.5286750449475,37.1752605908822,6952,4664,0.598484848484849,0.401515151515151,34.5065557883478
"pokemon_icon_020_61_shiny.png","020","_61","pokemon_icon_020_61_shiny.jpeg","#78474B","#DCBBC8",4812,1702,120,71,75,220,187,200,"pokemon_icon_020_61.png","pokemon_icon_020_61.jpeg","#696052","#DACDAD",4836,1772,105,96,82,218,205,173,29.9833287011299,32.5115364140177,9648,3474,0.735253772290809,0.264746227709191,31.8422029591654
"pokemon_icon_021_00_shiny.png","021","_00","pokemon_icon_021_00_shiny.jpeg","#C9B979","#8A7935",1090,809,201,185,121,138,121,53,"pokemon_icon_021_00.png","pokemon_icon_021_00.jpeg","#C79C80","#86503B",1120,697,199,156,128,134,80,59,29.8998327754521,41.6293165929973,2210,1506,0.594725511302476,0.405274488697524,36.8756560361558
"pokemon_icon_022_00_shiny.png","022","_00","pokemon_icon_022_00_shiny.jpeg","#74763D","#B1AB70",6646,6285,116,118,61,177,171,112,"pokemon_icon_022_00.png","pokemon_icon_022_00.jpeg","#A06535","#D3A675",7117,5641,160,101,53,211,166,117,47.8434948556227,34.7275107083707,13763,11926,0.53575460313753,0.46424539686247,40.8165459740536
"pokemon_icon_023_00_shiny.png","023","_00","pokemon_icon_023_00_shiny.jpeg","#AFC48C","#7D8A5F",1484,964,175,196,140,125,138,95,"pokemon_icon_023_00.png","pokemon_icon_023_00.jpeg","#C996CB","#916B8B",1482,963,201,150,203,145,107,139,82.2253002426869,57.4195088798224,2966,1927,0.606172082566932,0.393827917433068,67.1887220325385
"pokemon_icon_024_00_shiny.png","024","_00","pokemon_icon_024_00_shiny.jpeg","#C39F52","#4A4439",13302,4137,195,159,82,74,68,57,"pokemon_icon_024_00.png","pokemon_icon_024_00.jpeg","#A28DC6","#573C48",12830,4219,162,141,198,87,60,72,121.938509093723,21.4009345590327,26132,8356,0.757712827650197,0.242287172349803,45.7598992079504
"pokemon_icon_025_00_01_shiny.png","025","_00_01","pokemon_icon_025_00_01_shiny.jpeg","#F4B517","#C1501A",4040,2627,244,181,23,193,80,26,"pokemon_icon_025_00_01.png","pokemon_icon_025_00_01.jpeg","#ECC454","#BB3120",5278,1516,236,196,84,187,49,32,63.3245607959503,32.1403173599764,9318,4143,0.692221974593269,0.307778025406731,41.7381422285032
"pokemon_icon_025_00_02_shiny.png","025","_00_02","pokemon_icon_025_00_02_shiny.jpeg","#E8A615","#7969AB",5911,870,232,166,21,121,105,171,"pokemon_icon_025_00_02.png","pokemon_icon_025_00_02.jpeg","#ECC251","#5A5291",5957,767,236,194,81,90,82,145,66.332495807108,46.5403051128804,11868,1637,0.878785634950018,0.121214365049981,48.9394029408293
"pokemon_icon_025_00_03_shiny.png","025","_00_03","pokemon_icon_025_00_03_shiny.jpeg","#F5B716","#B6672B",3813,2456,245,183,22,182,103,43,"pokemon_icon_025_00_03.png","pokemon_icon_025_00_03.jpeg","#F5D358","#B66E3F",3972,2359,245,211,88,182,110,63,71.6937933157397,21.1896201004171,7785,4815,0.617857142857143,0.382142857142857,40.4894291505582
"pokemon_icon_025_00_04_shiny.png","025","_00_04","pokemon_icon_025_00_04_shiny.jpeg","#E7A016","#473765",5247,1819,231,160,22,71,55,101,"pokemon_icon_025_00_04.png","pokemon_icon_025_00_04.jpeg","#EABA4E","#433360",5294,1813,234,186,78,67,51,96,61.8142378421024,7.54983443527075,10541,3632,0.743738093558174,0.256261906441826,21.4557339042337
"pokemon_icon_025_00_05_shiny.png","025","_00_05","pokemon_icon_025_00_05_shiny.jpeg","#E2A31E","#3E3622",5573,1649,226,163,30,62,54,34,"pokemon_icon_025_00_05.png","pokemon_icon_025_00_05.jpeg","#E5BC52","#3B321E",5654,1657,229,188,82,59,50,30,57.7754273026172,6.40312423743285,11227,3306,0.772517718296291,0.227482281703709,18.0894129550754
"pokemon_icon_025_00_06_shiny.png","025","_00_06","pokemon_icon_025_00_06_shiny.jpeg","#E7A416","#3E3C38",5378,1630,231,164,22,62,60,56,"pokemon_icon_025_00_06.png","pokemon_icon_025_00_06.jpeg","#EABF50","#383633",5441,1635,234,191,80,56,54,51,64.0468578464237,9.8488578017961,10819,3265,0.768176654359557,0.231823345640443,22.4132194991625
"pokemon_icon_025_00_07_shiny.png","025","_00_07","pokemon_icon_025_00_07_shiny.jpeg","#F6BB19","#B97318",4028,2112,246,187,25,185,115,24,"pokemon_icon_025_00_07.png","pokemon_icon_025_00_07.jpeg","#F6D55B","#B57C35",4342,1889,246,213,91,181,124,53,70.9365914038728,30.6267856622271,8370,4001,0.676582329641904,0.323417670358096,43.6636891277775
"pokemon_icon_025_00_08_shiny.png","025","_00_08","pokemon_icon_025_00_08_shiny.jpeg","#E7A519","#6C3123",5217,1233,231,165,25,108,49,35,"pokemon_icon_025_00_08.png","pokemon_icon_025_00_08.jpeg","#E8BD54","#5D231D",5510,1088,232,189,84,93,35,29,63.7024332345319,21.3775583264319,10727,2321,0.822118332311465,0.177881667688535,28.9063776597934
"pokemon_icon_025_00_09_shiny.png","025","_00_09","pokemon_icon_025_00_09_shiny.jpeg","#F4B515","#A67031",4341,2403,244,181,21,166,112,49,"pokemon_icon_025_00_09.png","pokemon_icon_025_00_09.jpeg","#F5D257","#A47641",4439,2353,245,210,87,164,118,65,72.0971566707037,17.2046505340853,8780,4756,0.648640661938534,0.351359338061466,36.4916451547825
"pokemon_icon_025_00_10_shiny.png","025","_00_10","pokemon_icon_025_00_10_shiny.jpeg","#F5B61F","#B8671F",4222,2541,245,182,31,184,103,31,"pokemon_icon_025_00_10.png","pokemon_icon_025_00_10.jpeg","#F5CE57","#B96F34",4376,2419,245,206,87,185,111,52,60.9261848469113,22.494443758404,8598,4960,0.634164331022275,0.365835668977725,36.5541454694968
"pokemon_icon_025_00_11_shiny.png","025","_00_11","pokemon_icon_025_00_11_shiny.jpeg","#F7BA18","#BD691B",4255,2359,247,186,24,189,105,27,"pokemon_icon_025_00_11.png","pokemon_icon_025_00_11.jpeg","#F6D45A","#BA6D32",4644,2083,246,212,90,186,109,50,70.9436396021518,23.5372045918796,8899,4442,0.66704145116558,0.33295854883442,39.3215823983131
"pokemon_icon_025_00_12_shiny.png","025","_00_12","pokemon_icon_025_00_12_shiny.jpeg","#EBA813","#968563",5199,1025,235,168,19,150,133,99,"pokemon_icon_025_00_12.png","pokemon_icon_025_00_12.jpeg","#E2B84A","#C6C69E",5606,952,226,184,74,198,198,158,57.9827560572969,100.049987506246,10805,1977,0.845329369425755,0.154670630574245,93.5434222915244
"pokemon_icon_025_00_13_shiny.png","025","_00_13","pokemon_icon_025_00_13_shiny.jpeg","#E9A616","#4D4325",5695,950,233,166,22,77,67,37,"pokemon_icon_025_00_13.png","pokemon_icon_025_00_13.jpeg","#EBC150","#3E351C",5754,926,235,193,80,62,53,28,64.007812023221,22.4053565024081,11449,1876,0.85921200750469,0.14078799249531,28.2624826980587
"pokemon_icon_025_00_22_shiny.png","025","_00_22","pokemon_icon_025_00_22_shiny.jpeg","#F5B228","#B16F1B",4964,1982,245,178,40,177,111,27,"pokemon_icon_025_00_22.png","pokemon_icon_025_00_22.jpeg","#F6C957","#B57C38",4943,2074,246,201,87,181,124,56,52.3354564325181,32.0312347560939,9907,4056,0.709518011888563,0.290481988111437,37.929245435717
"pokemon_icon_025_00_23_shiny.png","025","_00_23","pokemon_icon_025_00_23_shiny.jpeg","#E7A316","#495356",5521,2197,231,163,22,73,83,86,"pokemon_icon_025_00_23.png","pokemon_icon_025_00_23.jpeg","#EABE4C","#484E51",5529,2234,234,190,76,72,78,81,60.4483250388297,7.14142842854285,11050,4431,0.713778179704153,0.286221820295847,22.3990254106616
"pokemon_icon_025_00_24_shiny.png","025","_00_24","pokemon_icon_025_00_24_shiny.jpeg","#E7A316","#5C946E",5159,2021,231,163,22,92,148,110,"pokemon_icon_025_00_24.png","pokemon_icon_025_00_24.jpeg","#EABF51","#568E68",5273,1973,234,191,81,86,142,104,65.3758365147246,10.3923048454133,10432,3994,0.723138777207819,0.276861222792181,25.6151126568114
"pokemon_icon_025_00_25_shiny.png","025","_00_25","pokemon_icon_025_00_25_shiny.jpeg","#E7A214","#667D88",5035,2195,231,162,20,102,125,136,"pokemon_icon_025_00_25.png","pokemon_icon_025_00_25.jpeg","#EBBF4F","#627882",5047,2182,235,191,79,98,120,130,65.8634952003004,8.77496438739212,10082,4377,0.697281969707449,0.302718030292551,26.0566919873714
"pokemon_icon_025_00_27_shiny.png","025","_00_27","pokemon_icon_025_00_27_shiny.jpeg","#EB9E19","#71482C",5712,922,235,158,25,113,72,44,"pokemon_icon_025_00_27.png","pokemon_icon_025_00_27.jpeg","#F6CF56","#AD6235",4253,2423,246,207,86,173,98,53,79.012657213892,66.007575322837,9965,3345,0.748685199098422,0.251314800901578,69.2759448889962
"pokemon_icon_025_00_shiny.png","025","_00","pokemon_icon_025_00_shiny.jpeg","#F8BC17","#BA7317",4216,2124,248,188,23,186,115,23,"pokemon_icon_025_00.png","pokemon_icon_025_00.jpeg","#F7D759","#B67C34",4505,1885,247,215,89,182,124,52,71.3161973187017,30.6267856622271,8721,4009,0.685074626865672,0.314925373134328,43.4409138107587
"pokemon_icon_025_01_01_shiny.png","025","_01_01","pokemon_icon_025_01_01_shiny.jpeg","#E18D15","#CEC3B8",6520,941,225,141,21,206,195,184,"pokemon_icon_025_01_01.png","pokemon_icon_025_01_01.jpeg","#ECC455","#BB3220",5356,1533,236,196,85,187,50,32,85.0999412455731,210.926527492395,11876,2474,0.827595818815331,0.172404181184669,189.233497919249
"pokemon_icon_025_01_02_shiny.png","025","_01_02","pokemon_icon_025_01_02_shiny.jpeg","#E8A615","#7B6AAB",5999,878,232,166,21,123,106,171,"pokemon_icon_025_01_02.png","pokemon_icon_025_01_02.jpeg","#ECC251","#595291",6059,760,236,194,81,89,82,145,66.332495807108,49.0713765855412,12058,1638,0.880403037383178,0.119596962616822,51.1357540158074
"pokemon_icon_025_01_03_shiny.png","025","_01_03","pokemon_icon_025_01_03_shiny.jpeg","#F5B715","#B6672B",3898,2477,245,183,21,182,103,43,"pokemon_icon_025_01_03.png","pokemon_icon_025_01_03.jpeg","#F5D358","#B66E3F",4067,2356,245,211,88,182,110,63,72.6154253585283,21.1896201004171,7965,4833,0.622362869198312,0.377637130801688,40.6099136472566
"pokemon_icon_025_01_04_shiny.png","025","_01_04","pokemon_icon_025_01_04_shiny.jpeg","#E7A116","#473765",5338,1820,231,161,22,71,55,101,"pokemon_icon_025_01_04.png","pokemon_icon_025_01_04.jpeg","#EABA4E","#433360",5384,1813,234,186,78,67,51,96,61.400325732035,7.54983443527075,10722,3633,0.746917450365726,0.253082549634274,21.1784540717141
"pokemon_icon_025_01_05_shiny.png","025","_01_05","pokemon_icon_025_01_05_shiny.jpeg","#E2A41E","#3E3622",5655,1649,226,164,30,62,54,34,"pokemon_icon_025_01_05.png","pokemon_icon_025_01_05.jpeg","#E5BC52","#3B321E",5741,1657,229,188,82,59,50,30,57.3498038357587,6.40312423743285,11396,3306,0.775132635015644,0.224867364984356,17.8593698334106
