"jpeg_img","colour_1","colour_2","colour_3","colour_1_count","colour_2_count","colour_3_count"
"pokemon_icon_007_00_11_shiny.jpeg","#FFFFFF","#A3C9CA","#925448",61721,3266,549
"pokemon_icon_007_00_14.jpeg","#FFFFFF","#C2A642","#69C2E1",61337,2101,2098
"pokemon_icon_007_00_14_shiny.jpeg","#FFFFFF","#9FC4C3","#B69C1C",61190,2957,1389
"pokemon_icon_007_00_shiny.jpeg","#FFFFFF","#A8D2D5","#7D8D84",61893,2759,884
"pokemon_icon_008_00.jpeg","#FFFFFE","#AABFE0","#6A6154",59705,5375,456
"pokemon_icon_008_00_05.jpeg","#FFFFFE","#AABEDD","#49453E",59616,5324,596
"pokemon_icon_008_00_05_shiny.jpeg","#FEFEFF","#BFA8AB","#4C3C32",59781,5144,611
"pokemon_icon_008_00_shiny.jpeg","#FFFFFF","#B9B7DC","#C38E61",58854,4377,2305
"pokemon_icon_009_00.jpeg","#FDFEFD","#A0AFC0","#51555A",51455,10589,3492
"pokemon_icon_009_00_05.jpeg","#FDFEFD","#9EADBE","#4A4D51",51597,10586,3353
"pokemon_icon_009_00_05_shiny.jpeg","#FEFEFD","#AFA6B7","#4E4C55",51329,10585,3622
"pokemon_icon_009_00_shiny.jpeg","#FEFEFD","#B0A7B9","#53515A",51267,10668,3601
"pokemon_icon_009_51.jpeg","#FCFDFD","#9EA9B4","#5D616A",42857,17107,5572
"pokemon_icon_009_51_shiny.jpeg","#FDFDFE","#C4AEB7","#6D6D84",42839,14523,8174
"pokemon_icon_010_00.jpeg","#FFFFFF","#CED583","#71984D",63828,952,756
"pokemon_icon_010_00_shiny.jpeg","#FFFFFF","#E5D871","#AA883A",63833,1043,660
"pokemon_icon_011_00.jpeg","#FFFFFF","#B0D478","#65823F",62966,1582,988
"pokemon_icon_011_00_shiny.jpeg","#FFFFFF","#ED7B3B","#9D451D",62997,1584,955
"pokemon_icon_012_00.jpeg","#FBFCFC","#423840","#8B9DBC",57088,5644,2804
"pokemon_icon_012_00_shiny.jpeg","#FDFBFC","#3C4040","#BE939E",57096,5811,2629
"pokemon_icon_012_01.jpeg","#FBFCFD","#41373E","#8A9BBB",56586,6141,2809
"pokemon_icon_012_01_shiny.jpeg","#FEFCFC","#3B3F3F","#BD919D",56584,6314,2638
"pokemon_icon_013_00.jpeg","#FFFFFF","#9B7050","#DCAF8A",64302,667,567
"pokemon_icon_013_00_shiny.jpeg","#FFFFFF","#A08844","#E2CC7F",64283,685,568
"pokemon_icon_014_00.jpeg","#FFFFFF","#E5CD61","#AD883A",62977,1365,1194
"pokemon_icon_014_00_shiny.jpeg","#FFFFFF","#659F26","#A5DF3F",62982,1281,1273
"pokemon_icon_015_00.jpeg","#FFFFFF","#CFCFC6","#9C7D52",56683,6675,2178
"pokemon_icon_015_00_shiny.jpeg","#FFFFFF","#C9CCCE","#649554",56598,6445,2493
"pokemon_icon_015_51.jpeg","#FDFEFE","#CCC28E","#6A5548",58730,4583,2223
"pokemon_icon_015_51_shiny.jpeg","#FFFFFF","#BBC3CE","#708C43",56835,4653,4048
"pokemon_icon_016_00.jpeg","#FFFFFF","#D1BC7C","#8E7047",63896,964,676
"pokemon_icon_016_00_shiny.jpeg","#FFFFFF","#CBBC76","#8F7B3F",63895,821,820
"pokemon_icon_017_00.jpeg","#FFFFFE","#C17B51","#DFC69B",55623,5821,4092
"pokemon_icon_017_00_shiny.jpeg","#FFFFFE","#D3D67C","#A19732",55912,6364,3260
"pokemon_icon_018_00.jpeg","#FFFEFE","#DDC390","#BB8053",52044,10136,3356
"pokemon_icon_018_00_shiny.jpeg","#FFFFFE","#BA9E4F","#EADB7A",51086,8087,6363
"pokemon_icon_018_51.jpeg","#FEFDFB","#C88F72","#3E87A8",49352,13883,2301
"pokemon_icon_018_51_shiny.jpeg","#FFFEFD","#D8BC61","#6E535B",47072,14997,3467
"pokemon_icon_019_00.jpeg","#FFFFFF","#C5A6BB","#886687",62894,1579,1063
"pokemon_icon_019_00_shiny.jpeg","#FFFFFF","#C1BC9B","#7A7D61",62803,1540,1193
"pokemon_icon_019_01.jpeg","#FFFFFF","#C4A5BA","#866585",62908,1611,1017
"pokemon_icon_019_01_shiny.jpeg","#FFFFFF","#BEBA98","#787B5F",62835,1568,1133
"pokemon_icon_019_61.jpeg","#FFFFFF","#615E54","#C0B798",61971,2391,1174
"pokemon_icon_019_61_shiny.jpeg","#FFFFFF","#84444C","#C09993",61938,2350,1248
"pokemon_icon_020_00.jpeg","#FFFFFF","#DCB773","#A67336",59660,4074,1802
"pokemon_icon_020_00_11.jpeg","#FFFFFE","#C99C5F","#47C6B9",59368,5654,514
"pokemon_icon_020_00_11_shiny.jpeg","#FFFFFE","#B6B994","#BF5944",59313,3384,2839
"pokemon_icon_020_00_shiny.jpeg","#FFFFFE","#CCB78C","#C15B40",59799,2972,2765
"pokemon_icon_020_01.jpeg","#FFFFFF","#DCB772","#A67336",59660,4029,1847
"pokemon_icon_020_01_11.jpeg","#FFFFFE","#C89C5E","#47C6B9",59368,5653,515
"pokemon_icon_020_01_11_shiny.jpeg","#FFFFFE","#C17F61","#47C6B9",59794,5231,511
"pokemon_icon_020_01_shiny.jpeg","#FFFFFF","#CCB78C","#C05A3F",59796,2923,2817
"pokemon_icon_020_61.jpeg","#FFFFFE","#696052","#DACDAD",58928,4836,1772
"pokemon_icon_020_61_shiny.jpeg","#FFFFFF","#78474B","#DCBBC8",59022,4812,1702
"pokemon_icon_021_00.jpeg","#FFFFFF","#C79C80","#86503B",63719,1120,697
"pokemon_icon_021_00_shiny.jpeg","#FFFFFF","#C9B979","#8A7935",63637,1090,809
"pokemon_icon_022_00.jpeg","#FFFEFD","#A06535","#D3A675",52778,7117,5641
"pokemon_icon_022_00_shiny.jpeg","#FFFEFD","#74763D","#B1AB70",52605,6646,6285
"pokemon_icon_023_00.jpeg","#FFFFFF","#C996CB","#916B8B",63091,1482,963
"pokemon_icon_023_00_shiny.jpeg","#FFFFFF","#AFC48C","#7D8A5F",63088,1484,964
"pokemon_icon_024_00.jpeg","#FFFEFF","#A28DC6","#573C48",48487,12830,4219
"pokemon_icon_024_00_shiny.jpeg","#FFFFFE","#C39F52","#4A4439",48097,13302,4137
"pokemon_icon_025_00.jpeg","#FFFFFF","#F7D759","#B67C34",59146,4505,1885
"pokemon_icon_025_00_01.jpeg","#FEFEFE","#ECC454","#BB3120",58742,5278,1516
"pokemon_icon_025_00_01_shiny.jpeg","#FEFEFE","#F4B517","#C1501A",58869,4040,2627
"pokemon_icon_025_00_02.jpeg","#FFFEFF","#ECC251","#5A5291",58812,5957,767
"pokemon_icon_025_00_02_shiny.jpeg","#FFFFFE","#E8A615","#7969AB",58755,5911,870
"pokemon_icon_025_00_03.jpeg","#FFFFFF","#F5D358","#B66E3F",59205,3972,2359
"pokemon_icon_025_00_03_shiny.jpeg","#FFFFFE","#F5B716","#B6672B",59267,3813,2456
"pokemon_icon_025_00_04.jpeg","#FFFFFF","#EABA4E","#433360",58429,5294,1813
"pokemon_icon_025_00_04_shiny.jpeg","#FFFFFF","#E7A016","#473765",58470,5247,1819
"pokemon_icon_025_00_05.jpeg","#FFFFFF","#E5BC52","#3B321E",58225,5654,1657
"pokemon_icon_025_00_05_shiny.jpeg","#FFFFFE","#E2A31E","#3E3622",58314,5573,1649
"pokemon_icon_025_00_06.jpeg","#FFFFFF","#EABF50","#383633",58460,5441,1635
"pokemon_icon_025_00_06_shiny.jpeg","#FFFFFE","#E7A416","#3E3C38",58528,5378,1630
"pokemon_icon_025_00_07.jpeg","#FFFFFF","#F6D55B","#B57C35",59305,4342,1889
"pokemon_icon_025_00_07_shiny.jpeg","#FFFFFE","#F6BB19","#B97318",59396,4028,2112
"pokemon_icon_025_00_08.jpeg","#FFFFFF","#E8BD54","#5D231D",58938,5510,1088
"pokemon_icon_025_00_08_shiny.jpeg","#FFFFFE","#E7A519","#6C3123",59086,5217,1233
"pokemon_icon_025_00_09.jpeg","#FFFFFF","#F5D257","#A47641",58744,4439,2353
"pokemon_icon_025_00_09_shiny.jpeg","#FFFFFF","#F4B515","#A67031",58792,4341,2403
"pokemon_icon_025_00_10.jpeg","#FFFFFF","#F5CE57","#B96F34",58741,4376,2419
"pokemon_icon_025_00_10_shiny.jpeg","#FFFFFE","#F5B61F","#B8671F",58773,4222,2541
"pokemon_icon_025_00_11.jpeg","#FFFFFF","#F6D45A","#BA6D32",58809,4644,2083
"pokemon_icon_025_00_11_shiny.jpeg","#FFFFFE","#F7BA18","#BD691B",58922,4255,2359
"pokemon_icon_025_00_12.jpeg","#FFFFFF","#E2B84A","#C6C69E",58978,5606,952
"pokemon_icon_025_00_12_shiny.jpeg","#FFFFFE","#EBA813","#968563",59312,5199,1025
"pokemon_icon_025_00_13.jpeg","#FFFFFF","#EBC150","#3E351C",58856,5754,926
"pokemon_icon_025_00_13_shiny.jpeg","#FFFFFF","#E9A616","#4D4325",58891,5695,950
"pokemon_icon_025_00_22.jpeg","#FFFFFF","#F6C957","#B57C38",58519,4943,2074
"pokemon_icon_025_00_22_shiny.jpeg","#FFFFFE","#F5B228","#B16F1B",58590,4964,1982
"pokemon_icon_025_00_23.jpeg","#FFFFFF","#EABE4C","#484E51",57773,5529,2234
"pokemon_icon_025_00_23_shiny.jpeg","#FFFFFF","#E7A316","#495356",57818,5521,2197
"pokemon_icon_025_00_24.jpeg","#FFFFFF","#EABF51","#568E68",58290,5273,1973
"pokemon_icon_025_00_24_shiny.jpeg","#FFFFFE","#E7A316","#5C946E",58356,5159,2021
"pokemon_icon_025_00_25.jpeg","#FFFFFF","#EBBF4F","#627882",58307,5047,2182
"pokemon_icon_025_00_25_shiny.jpeg","#FFFFFF","#E7A214","#667D88",58306,5035,2195
"pokemon_icon_025_00_27.jpeg","#FFFFFF","#F6CF56","#AD6235",58860,4253,2423
"pokemon_icon_025_00_27_shiny.jpeg","#FFFFFE","#EB9E19","#71482C",58902,5712,922
"pokemon_icon_025_00_shiny.jpeg","#FFFFFF","#F8BC17","#BA7317",59196,4216,2124
"pokemon_icon_025_01.jpeg","#FFFFFF","#F7D65A","#B67C34",59047,4599,1890
"pokemon_icon_025_01_01.jpeg","#FEFEFE","#ECC455","#BB3220",58647,5356,1533
"pokemon_icon_025_01_01_shiny.jpeg","#FFFFFF","#E18D15","#CEC3B8",58075,6520,941
"pokemon_icon_025_01_02.jpeg","#FFFEFF","#ECC251","#595291",58717,6059,760
"pokemon_icon_025_01_02_shiny.jpeg","#FFFFFE","#E8A615","#7B6AAB",58659,5999,878
"pokemon_icon_025_01_03.jpeg","#FFFFFF","#F5D358","#B66E3F",59113,4067,2356
"pokemon_icon_025_01_03_shiny.jpeg","#FFFFFE","#F5B715","#B6672B",59161,3898,2477
"pokemon_icon_025_01_04.jpeg","#FFFFFF","#EABA4E","#433360",58339,5384,1813
"pokemon_icon_025_01_04_shiny.jpeg","#FFFFFF","#E7A116","#473765",58378,5338,1820
"pokemon_icon_025_01_05.jpeg","#FFFFFF","#E5BC52","#3B321E",58138,5741,1657
"pokemon_icon_025_01_05_shiny.jpeg","#FFFFFE","#E2A41E","#3E3622",58232,5655,1649
"pokemon_icon_025_01_06.jpeg","#FFFFFF","#EABF50","#383633",58369,5530,1637
"pokemon_icon_025_01_06_shiny.jpeg","#FFFFFF","#E7A416","#3E3C38",58427,5471,1638
"pokemon_icon_025_01_07.jpeg","#FFFFFF","#F6D55B","#B57C35",59207,4429,1900
"pokemon_icon_025_01_07_shiny.jpeg","#FFFFFE","#F6BB19","#B97319",59298,4112,2126
"pokemon_icon_025_01_08.jpeg","#FFFFFF","#E8BD54","#5D231D",58844,5606,1086
"pokemon_icon_025_01_08_shiny.jpeg","#FFFFFE","#E8A519","#6D3224",58996,5291,1249
"pokemon_icon_025_01_09.jpeg","#FFFFFF","#F5D358","#A67741",58644,4460,2432
"pokemon_icon_025_01_09_shiny.jpeg","#FFFFFF","#F4B515","#A57033",58697,4476,2363
"pokemon_icon_025_01_10.jpeg","#FFFFFF","#F5CE57","#B96F34",58655,4467,2414
"pokemon_icon_025_01_10_shiny.jpeg","#FFFFFF","#F4B61F","#B8671F",58683,4303,2550
"pokemon_icon_025_01_11.jpeg","#FFFFFF","#F6D45A","#BA6E33",58712,4728,2096
"pokemon_icon_025_01_11_shiny.jpeg","#FFFFFE","#F7BA18","#BD691B",58836,4323,2377
"pokemon_icon_025_01_12.jpeg","#FFFFFF","#F5D45D","#AD7D3C",59069,4494,1973
"pokemon_icon_025_01_12_shiny.jpeg","#FFFFFE","#F6BA1A","#B17523",59335,4072,2129
"pokemon_icon_025_01_13.jpeg","#FFFFFF","#EBC151","#3D361C",58747,5867,922
"pokemon_icon_025_01_13_shiny.jpeg","#FFFFFF","#E9A716","#4E4325",58799,5780,957
"pokemon_icon_025_01_22.jpeg","#FFFFFF","#F6CA58","#B57C39",58428,5017,2091
"pokemon_icon_025_01_22_shiny.jpeg","#FFFFFE","#F4B327","#B16F1B",58501,5052,1983
"pokemon_icon_025_01_23.jpeg","#FFFFFF","#EABE4C","#484E51",57684,5619,2233
"pokemon_icon_025_01_23_shiny.jpeg","#FFFFFF","#E7A416","#495356",57724,5613,2199
"pokemon_icon_025_01_24.jpeg","#FFFFFF","#EABF51","#568E68",58203,5358,1975
"pokemon_icon_025_01_24_shiny.jpeg","#FFFFFE","#E7A417","#5C946E",58261,5247,2028
"pokemon_icon_025_01_25.jpeg","#FFFFFF","#EBBF4F","#627882",58224,5130,2182
"pokemon_icon_025_01_25_shiny.jpeg","#FFFFFF","#E7A314","#667D88",58216,5121,2199
"pokemon_icon_025_01_27.jpeg","#FFFFFF","#F5CE56","#AD6235",58771,4356,2409
"pokemon_icon_025_01_27_shiny.jpeg","#FFFFFE","#E99C19","#5C4230",58815,6005,716
"pokemon_icon_025_01_shiny.jpeg","#FFFFFF","#F8BC17","#BA7318",59098,4288,2150
"pokemon_icon_025_16.jpeg","#FFFFFE","#D99B50","#40352A",59395,4588,1553
"pokemon_icon_025_16_shiny.jpeg","#FFFFFE","#DC9228","#514335",59514,4374,1648
"pokemon_icon_026_00.jpeg","#FFFFFE","#DABB6C","#885E30",56173,6180,3183
"pokemon_icon_026_00_01.jpeg","#FFFFFE","#D4B671","#9D4D2B",55661,6016,3859
"pokemon_icon_026_00_01_shiny.jpeg","#FFFFFE","#C7A179","#A34A2F",55657,5323,4556
"pokemon_icon_026_00_02.jpeg","#FFFFFE","#D6B871","#855D3C",55899,6189,3448
"pokemon_icon_026_00_02_shiny.jpeg","#FFFFFE","#C79E7A","#8E5538",55900,5811,3825
"pokemon_icon_026_00_03.jpeg","#FFFFFE","#D5B670","#935B37",56344,5521,3671
"pokemon_icon_026_00_03_shiny.jpeg","#FFFFFE","#C79E75","#975439",56431,4949,4156
"pokemon_icon_026_00_04.jpeg","#FFFFFE","#D0AC65","#624546",55686,5990,3860
"pokemon_icon_026_00_04_shiny.jpeg","#FFFFFE","#C49165","#633F46",55815,5895,3826
"pokemon_icon_026_00_05.jpeg","#FFFFFE","#D1B36B","#654928",55423,6157,3956
"pokemon_icon_026_00_05_shiny.jpeg","#FFFFFE","#C49B6C","#684126",55540,6087,3909
"pokemon_icon_026_00_06.jpeg","#FFFFFE","#D1B16A","#644B32",55613,6052,3871
"pokemon_icon_026_00_06_shiny.jpeg","#FFFFFE","#C3966C","#684632",55719,5800,4017
"pokemon_icon_026_00_07.jpeg","#FFFFFE","#D8BA70","#895F30",56329,6003,3204
"pokemon_icon_026_00_07_shiny.jpeg","#FFFFFE","#CCA175","#8F5733",56370,5452,3714
"pokemon_icon_026_00_08.jpeg","#FFFFFE","#D3B472","#7E4A2A",56594,5406,3536
"pokemon_icon_026_00_08_shiny.jpeg","#FFFFFE","#C49A73","#81412A",56703,5273,3560
"pokemon_icon_026_00_09.jpeg","#FFFFFE","#D6B86F","#89633B",55823,5499,4214
"pokemon_icon_026_00_09_shiny.jpeg","#FFFFFE","#C59D73","#8C5939",55892,5319,4325
"pokemon_icon_026_00_27.jpeg","#FFFFFE","#D5AC66","#87542F",56390,5843,3303
"pokemon_icon_026_00_27_shiny.jpeg","#FFFFFE","#C9936A","#8B4F31",56450,5406,3680
"pokemon_icon_026_00_shiny.jpeg","#FFFFFE","#CFA170","#8E5633",56222,5652,3662
"pokemon_icon_026_01.jpeg","#FFFFFE","#DABB6C","#885E30",56545,5819,3172
"pokemon_icon_026_01_01.jpeg","#FFFFFE","#D3B572","#9D4D2B",56027,5653,3856
"pokemon_icon_026_01_01_shiny.jpeg","#FFFFFE","#C8A27B","#A34B2F",56016,4921,4599
"pokemon_icon_026_01_02.jpeg","#FFFFFE","#D6B772","#855D3C",56261,5862,3413
"pokemon_icon_026_01_02_shiny.jpeg","#FFFFFE","#C89F7B","#8F5538",56257,5411,3868
"pokemon_icon_026_01_03.jpeg","#FFFFFE","#D4B570","#935A37",56721,5181,3634
"pokemon_icon_026_01_03_shiny.jpeg","#FFFFFE","#C89E76","#985439",56798,4580,4158
"pokemon_icon_026_01_04.jpeg","#FFFFFE","#CEA964","#614447",56078,5698,3760
"pokemon_icon_026_01_04_shiny.jpeg","#FFFFFE","#C49164","#633F46",56189,5533,3814
"pokemon_icon_026_01_05.jpeg","#FFFFFE","#D1B26B","#654928",55804,5789,3943
"pokemon_icon_026_01_05_shiny.jpeg","#FFFFFE","#C49B6C","#684126",55912,5711,3913
"pokemon_icon_026_01_06.jpeg","#FFFFFE","#D0B069","#644B32",55989,5687,3860
"pokemon_icon_026_01_06_shiny.jpeg","#FFFFFE","#C3956B","#674632",56104,5445,3987
"pokemon_icon_026_01_07.jpeg","#FFFFFE","#D7B970","#895E30",56696,5647,3193
"pokemon_icon_026_01_07_shiny.jpeg","#FFFFFE","#CDA275","#905733",56741,5070,3725
"pokemon_icon_026_01_08.jpeg","#FFFFFE","#D2B272","#7E4A2A",56964,5040,3532
"pokemon_icon_026_01_08_shiny.jpeg","#FFFFFE","#C59A74","#82422A",57073,4889,3574
"pokemon_icon_026_01_09.jpeg","#FFFFFE","#D5B76F","#89633B",56195,5152,4189
"pokemon_icon_026_01_09_shiny.jpeg","#FFFFFE","#C69D73","#8C5939",56263,4940,4333
"pokemon_icon_026_01_27.jpeg","#FFFFFE","#D4AA66","#87542F",56751,5510,3275
"pokemon_icon_026_01_27_shiny.jpeg","#FFFFFE","#CA9269","#8B4F31",56817,5056,3663
"pokemon_icon_026_01_shiny.jpeg","#FFFFFE","#D0A170","#8F5633",56594,5270,3672
"pokemon_icon_026_61.jpeg","#FFFFFE","#F4E890","#C99053",57944,3808,3784
"pokemon_icon_026_61_01.jpeg","#FFFFFE","#F4E790","#C98F53",57939,3829,3768
"pokemon_icon_026_61_01_shiny.jpeg","#FFFFFE","#EEC25D","#7D4B2C",58477,4154,2905
"pokemon_icon_026_61_02.jpeg","#FFFFFE","#F4E790","#C98F53",57939,3829,3768
"pokemon_icon_026_61_02_shiny.jpeg","#FFFFFE","#EEC25D","#7D4B2C",58477,4154,2905
"pokemon_icon_026_61_03.jpeg","#FFFFFE","#F4E790","#C98F53",57939,3829,3768
"pokemon_icon_026_61_03_shiny.jpeg","#FFFFFE","#EEC25D","#7D4B2C",58477,4154,2905
"pokemon_icon_026_61_04.jpeg","#FFFFFE","#F4E790","#C98F53",57939,3829,3768
"pokemon_icon_026_61_04_shiny.jpeg","#FFFFFE","#EEC25D","#7D4B2C",58477,4154,2905
"pokemon_icon_026_61_05.jpeg","#FFFFFE","#F4E790","#C98F53",57939,3829,3768
"pokemon_icon_026_61_05_shiny.jpeg","#FFFFFE","#EEC25D","#7D4B2C",58477,4154,2905
"pokemon_icon_026_61_shiny.jpeg","#FFFFFE","#EEC25D","#7E4C2C",58482,4152,2902
"pokemon_icon_027_00.jpeg","#FFFFFF","#E7CC80","#AB8845",62602,1994,940
"pokemon_icon_027_00_shiny.jpeg","#FFFFFF","#ABD698","#67995D",62679,1787,1070
"pokemon_icon_027_61.jpeg","#FFFFFF","#A9B6C3","#C7C07E",63425,1214,897
"pokemon_icon_027_61_shiny.jpeg","#FFFFFF","#B1BFCB","#4F85AA",63348,1143,1045
"pokemon_icon_028_00.jpeg","#FFFEFE","#96702B","#DEC674",56186,4817,4533
"pokemon_icon_028_00_shiny.jpeg","#FFFEFE","#CCBA7F","#9C302A",56254,4665,4617
"pokemon_icon_028_61.jpeg","#FEFFFF","#AED8EE","#6093C8",54829,7530,3177
"pokemon_icon_028_61_shiny.jpeg","#FEFFFF","#8BC6E9","#4E88C1",54496,7030,4010
"pokemon_icon_029_00.jpeg","#FFFFFF","#9FACDF","#485696",63609,1586,341
"pokemon_icon_029_00_shiny.jpeg","#FFFFFF","#CF9CD8","#5D424F",63692,1553,291
"pokemon_icon_030_00.jpeg","#FFFFFF","#9BCAD9","#3F599D",61645,3208,683
"pokemon_icon_030_00_shiny.jpeg","#FFFFFF","#C594C2","#5B5A5C",61696,3007,833
"pokemon_icon_031_00.jpeg","#FEFEFE","#8FB2CB","#606A7A",52649,10048,2839
"pokemon_icon_031_00_shiny.jpeg","#FFFFFF","#B2A685","#747656",51773,8573,5190
"pokemon_icon_032_00.jpeg","#FFFFFF","#AD85AD","#18575E",63411,1783,342
"pokemon_icon_032_00_shiny.jpeg","#FFFFFF","#95ADD5","#513C1B",63501,1701,334
"pokemon_icon_033_00.jpeg","#FFFFFF","#BE95BF","#756182",60050,3466,2020
"pokemon_icon_033_00_11.jpeg","#FFFFFF","#BC92BA","#785B79",60042,3508,1986
"pokemon_icon_033_00_11_shiny.jpeg","#FFFFFF","#96A7C2","#646377",60055,3270,2211
"pokemon_icon_033_00_shiny.jpeg","#FFFFFF","#9CAFC8","#626E84",60012,2945,2579
"pokemon_icon_034_00.jpeg","#FEFCFE","#BF8FB9","#796386",48684,9343,7509
"pokemon_icon_034_00_shiny.jpeg","#FCFCFD","#7397D2","#576382",49456,10345,5735
"pokemon_icon_035_00.jpeg","#FFFFFF","#EAC6C9","#B58587",61101,2531,1904
"pokemon_icon_035_00_shiny.jpeg","#FFFFFF","#E6CCCB","#AC9089",61178,2504,1854
"pokemon_icon_036_00.jpeg","#FFFFFE","#F2D1C8","#C2918D",46842,9582,9112
"pokemon_icon_036_00_shiny.jpeg","#FFFEFE","#EDCFCD","#BC9491",47437,9177,8922
"pokemon_icon_037_00.jpeg","#FFFFFF","#AE6C46","#EB9E65",61490,2037,2009
"pokemon_icon_037_00_shiny.jpeg","#FFFFFF","#E5BC73","#A3814A",61464,2272,1800
"pokemon_icon_037_61.jpeg","#FFFFFF","#C1D1E1","#627D9D",63475,1923,138
"pokemon_icon_037_61_shiny.jpeg","#FFFFFF","#CECEE2","#6A5979",63439,1981,116
"pokemon_icon_038_00.jpeg","#FFFFFF","#EDE180","#CFB55C",48026,9571,7939
"pokemon_icon_038_00_shiny.jpeg","#FFFFFF","#BABACA","#9896AA",48257,10148,7131
"pokemon_icon_038_61.jpeg","#FEFFFF","#CBEAEF","#9FCDD9",54503,5672,5361
"pokemon_icon_038_61_shiny.jpeg","#FFFFFF","#CCCDE8","#A09DD0",54387,5762,5387
"pokemon_icon_039_00.jpeg","#FFFEFE","#C7929F","#294551",62448,2609,479
"pokemon_icon_039_00_shiny.jpeg","#FFFEFE","#C78FAA","#2E4D29",62524,2522,490
"pokemon_icon_040_00.jpeg","#FEFCFD","#CB9CA9","#2A3D45",56781,7170,1585
"pokemon_icon_040_00_shiny.jpeg","#FEFCFD","#C192AE","#2F432A",56600,7360,1576
"pokemon_icon_041_00.jpeg","#FFFFFF","#6C5B8D","#32395D",61150,3433,953
"pokemon_icon_041_00_shiny.jpeg","#FFFFFF","#92946E","#426029",61078,3168,1290
"pokemon_icon_041_01.jpeg","#FFFFFF","#624576","#578EB4",61102,3513,921
"pokemon_icon_041_01_shiny.jpeg","#FFFFFF","#92946E","#425F29",61068,3170,1298
"pokemon_icon_042_00.jpeg","#FFFFFF","#603D5E","#548AA9",58527,5187,1822
"pokemon_icon_042_00_shiny.jpeg","#FFFFFF","#826B4A","#212813",58522,5364,1650
"pokemon_icon_042_01.jpeg","#FFFFFF","#6B5B82","#19181E",58559,5726,1251
"pokemon_icon_042_01_shiny.jpeg","#FFFFFF","#826A4A","#202713",58500,5377,1659
"pokemon_icon_043_00.jpeg","#FFFFFF","#4DBC3C","#73A2A0",63391,1152,993
